,Date,VCB_Close,VIC_Close,VHM_Close,BID_Close,TCB_Close,CTG_Close,HPG_Close,VPB_Close,FPT_Close,MBB_Close
216,20191114,39.1865,106.0577,71.0334,24.2563,11.977,14.4127,7.8104,6.8537,21.2797,8.8896
217,20191115,38.6692,106.3244,70.9598,23.971,12.074,14.4794,7.8104,6.9843,21.3892,8.8122
218,20191118,37.7639,104.9909,70.9598,23.5714,11.8558,14.2792,7.8966,6.919,20.9877,8.7541
219,20191119,39.2297,104.1019,71.1071,23.7712,12.0013,14.346,7.8621,6.9516,21.2797,8.8122
220,20191120,38.583,103.124,70.8861,23.7141,11.8316,14.2125,7.7242,6.8211,20.7322,8.7541
221,20191121,37.7208,102.5017,70.2229,23.5144,11.3951,14.2125,7.5863,6.5274,20.4402,8.6766
222,20191122,36.8586,103.3018,68.8965,22.9436,11.1769,14.0791,7.6208,6.5926,20.4402,8.6572
223,20191125,36.4275,103.124,68.6755,22.6583,11.2982,14.1124,7.6725,6.5926,20.6592,8.6766
224,20191126,36.5138,102.4128,68.7492,22.8295,11.3709,14.1458,7.8104,6.6742,20.8417,8.7734
225,20191127,37.2035,102.7684,68.5281,23.2861,11.3224,14.0457,7.7932,6.6579,20.8052,8.7541
226,20191128,36.7724,102.8573,67.4965,23.2005,11.1042,13.6453,7.7932,6.5437,20.4402,8.5604
227,20191129,36.7724,102.8573,67.7176,23.1148,11.1042,13.6453,7.8794,6.5763,20.5862,8.5798
228,20191202,35.9964,102.235,67.7176,22.487,11.0072,13.2116,7.9139,6.3642,19.9292,8.2893
229,20191203,35.3498,102.235,67.6439,22.6583,10.9345,13.0782,8.0863,6.1031,19.8927,8.3474
230,20191204,36.5138,102.6795,67.6439,23.0292,11.3709,13.6453,8.0863,6.4458,20.2212,8.5991
231,20191205,36.5569,102.9462,67.7913,22.8295,11.2739,13.4118,7.9656,6.3968,20.0387,8.4636
232,20191206,36.6,103.0351,67.7913,22.6297,11.2254,13.5453,8.2242,6.3968,20.0752,8.4636
233,20191209,36.7293,103.0351,67.7913,22.8295,11.0557,13.4452,8.3449,6.3315,20.1847,8.3086
234,20191210,36.8155,103.0351,67.4228,22.7724,10.8618,13.3784,8.4139,6.2173,20.2577,8.173
235,20191211,37.0311,103.0351,67.1281,22.8866,11.0072,13.245,8.4139,6.2826,20.6227,8.4442
236,20191212,37.7208,103.124,67.2018,23.4002,11.2254,13.4452,8.3449,6.4131,20.8052,8.4442
237,20191213,38.1088,103.124,65.6544,23.9139,11.2254,13.7454,8.207,6.4131,20.8417,8.4442
238,20191216,37.0742,102.9462,63.4438,23.9139,11.2254,13.5453,8.1897,6.3968,20.6227,8.2893
239,20191217,36.7724,102.9462,63.0017,23.657,11.0315,13.5119,7.9828,6.2989,20.2212,8.1537
240,20191218,37.3759,102.9462,61.8227,23.971,11.0072,13.4452,7.7759,6.2826,20.2577,8.1343
241,20191219,37.9364,102.9462,61.8227,24.0851,10.8375,13.4452,7.8621,6.2663,20.3672,8.0181
242,20191220,38.0657,102.9462,62.0437,24.399,11.0557,13.5786,7.9311,6.3968,20.6227,8.1343
243,20191223,39.1865,102.8573,61.749,25.5405,11.2012,13.7121,7.9484,6.3152,20.4767,8.1537
244,20191224,38.7986,102.6795,61.6753,25.6261,11.1527,13.7454,8.0001,6.2989,20.5862,8.0375
245,20191225,38.7555,102.6795,61.6753,25.7973,11.1527,13.7454,7.9828,6.3805,20.9877,8.1343
246,20191226,38.5399,102.5906,62.0437,25.2266,11.1769,13.7454,7.9311,6.4295,20.9512,8.0762
247,20191227,39.0141,102.4128,62.2648,26.368,11.2497,13.7788,8.1208,6.4295,21.0242,8.0956
248,20191230,39.5779,102.235,63.0017,26.311,11.3709,14.0457,8.1552,6.4621,21.3892,8.1149
249,20191231,39.23,102.235,62.4859,26.3395,11.4194,13.9456,8.1035,6.5274,21.2797,8.0568
250,20200102,39.491,102.235,62.5595,26.7676,11.5406,14.346,8.2759,6.7069,21.3892,8.2118
251,20200103,39.0995,102.5017,62.7806,26.6534,11.4679,14.2125,8.3277,6.6579,21.0242,8.2311
252,20200106,38.0557,101.7905,61.4542,26.1398,11.1769,14.2459,8.2759,6.511,20.8052,8.1149
253,20200107,38.1862,101.9683,61.749,26.6534,11.2497,14.4794,8.1725,6.6416,21.2067,8.1343
254,20200108,37.8383,101.6127,60.7911,26.8817,11.0315,14.4461,8.0863,6.56,20.7322,8.0181
255,20200109,38.5776,101.9683,61.3806,28.3371,11.1769,14.9799,8.2759,6.7721,21.0242,8.1537
256,20200110,38.9256,102.0572,62.2648,29.2788,11.2254,15.7138,8.3449,6.87,20.9877,8.2893
257,20200113,38.8821,102.1461,63.5911,28.5939,11.1285,15.4803,8.3621,6.7232,20.8417,8.2505
258,20200114,38.8821,102.235,63.5911,28.5939,11.1042,15.6805,8.6208,6.9027,20.8052,8.328
259,20200115,38.8386,102.235,63.5911,29.1076,11.1042,15.7472,8.6725,7.0659,20.8052,8.3086
260,20200116,38.9256,102.235,63.4438,30.8198,11.2982,16.6146,8.7242,7.1311,21.1702,8.5217
261,20200117,41.1002,102.1461,63.3701,30.5344,11.3467,16.648,8.6208,7.1475,21.0242,8.5217
262,20200120,40.8827,102.1461,63.3701,30.4203,11.3224,16.7481,8.7932,7.3433,20.9512,8.5217
263,20200121,40.8827,102.1461,64.4754,30.8198,11.6618,16.8815,8.9139,7.686,20.2577,8.7347
264,20200122,40.6218,102.1461,65.8754,31.6759,11.7346,17.0817,9.0691,7.7023,20.6227,8.6766
265,20200130,38.6646,102.1461,64.4017,30.0778,11.1042,16.2476,8.7242,7.4086,19.9657,8.2311
266,20200131,38.5776,102.0572,64.4754,29.393,10.4738,16.281,8.3104,7.327,18.9802,8.0568
267,20200203,38.5776,102.0572,62.7806,30.5344,10.4011,16.7814,8.4656,7.3759,18.7977,7.8825
268,20200204,39.056,102.0572,63.149,31.0481,10.5466,17.9491,8.4828,7.6533,18.9072,8.1924
269,20200205,38.6646,101.7905,63.3701,30.5344,10.5466,17.7156,8.4311,7.8818,18.9802,8.1924
270,20200206,38.8821,101.7016,63.9596,30.3632,10.8375,18.5163,8.6897,8.3224,19.5642,8.4442
271,20200207,39.143,101.7016,64.1069,29.5071,10.7405,17.9491,8.3966,8.2734,19.4547,8.2893
272,20200210,38.6646,101.0793,63.5175,28.0232,10.5951,17.749,8.3966,8.0287,19.1992,8.1343
273,20200211,38.7951,100.8126,63.5175,28.9934,10.7405,18.5163,8.138,8.2897,19.5642,8.2118
274,20200212,38.8821,99.568,63.7385,28.9934,10.983,18.1493,8.207,8.4366,19.7467,8.3861
275,20200213,38.8386,99.9236,63.3701,28.7651,10.9587,18.1827,8.1725,8.6814,19.8197,8.2893
276,20200214,38.8386,97.79,64.5491,28.5368,11.2982,17.8824,8.1725,8.8609,19.8927,8.4248
277,20200217,38.8821,96.012,63.8859,29.393,11.5406,17.7156,8.1897,8.8446,19.7832,8.5023
278,20200218,38.8821,92.9005,63.3701,29.6783,11.4921,17.8157,8.0346,8.9425,20.4402,8.4248
279,20200219,38.9256,93.345,63.3701,29.2788,11.4679,18.0159,8.0173,9.073,20.3307,8.3667
280,20200220,38.9256,97.79,64.0333,29.2788,11.3951,17.9491,8.1897,9.3178,20.3672,8.3861
281,20200221,38.7081,97.7011,63.4438,28.2515,11.2012,17.2485,8.1208,9.3994,19.9657,8.2118
282,20200224,37.9252,95.3897,61.8964,26.4251,10.4254,16.281,7.8277,8.7467,19.1627,7.7857
283,20200225,37.4903,95.123,61.2332,27.852,10.7648,17.4153,7.9656,9.2362,19.7102,8.0568
284,20200226,36.9684,94.1451,59.6121,26.8246,10.8375,17.2152,7.8449,9.2362,20.0752,7.9406
285,20200227,36.5335,93.8784,59.5384,26.8817,11.0315,17.4821,7.9139,9.2525,20.4402,8.0956
286,20200228,35.8376,93.7006,59.2437,25.9685,10.789,17.1818,7.707,8.8772,20.1117,7.9019
287,20200302,35.5767,93.7006,59.3173,25.7688,10.9103,17.015,7.6897,8.7793,20.3307,8.0181
288,20200303,35.7506,93.7895,59.3173,26.7676,10.9103,17.6489,7.6897,8.8609,20.4037,8.0956
289,20200304,35.5332,93.7895,59.3173,26.3395,10.9345,17.6489,7.707,8.8609,20.2577,8.0375
290,20200305,36.1421,93.8784,59.6858,26.6249,10.8133,17.4487,7.707,9.0894,19.9292,7.9987
291,20200306,36.7509,93.345,59.6121,26.739,10.692,17.2152,7.7242,8.9751,19.7102,7.9987
292,20200309,34.1849,86.8553,55.4857,24.8841,9.9647,16.0141,7.1897,8.355,18.3597,7.4565
293,20200310,34.7503,86.8553,56.3699,24.1992,10.0374,16.3477,7.4656,8.4856,18.8707,7.4177
294,20200311,33.489,86.233,56.3699,22.5156,9.3586,15.4803,,7.8981,18.5422,7.0497
295,20200312,31.1839,81.6102,53.054,20.946,8.704,14.5461,6.638,7.3596,17.5567,6.5656
296,20200313,30.8795,82.2325,53.054,19.9758,8.8494,14.6462,6.569,7.3433,17.5749,6.6237
297,20200316,29.1833,82.2325,52.9067,18.7202,8.4615,13.6787,6.5863,6.8374,17.3742,6.3719
298,20200317,29.3573,78.6765,51.5066,19.2909,8.704,14.0123,6.6208,7.0169,17.7027,6.4687
299,20200318,30.1401,79.121,51.2119,19.719,8.704,13.979,6.7932,7.0332,17.6662,6.3912
300,20200319,28.7049,78.8543,50.475,19.0626,8.3645,13.4118,6.6035,6.7885,17.4107,6.2363
301,20200320,26.7477,73.3425,47.0118,18.8914,8.413,13.2116,6.4139,6.87,17.4107,6.1976
302,20200323,24.8776,68.2752,43.7696,17.5787,7.8311,12.3108,5.9656,6.3968,16.2062,5.7715
303,20200324,25.2255,63.5635,40.7484,18.0353,7.8069,12.2108,5.8966,6.3642,16.2427,5.7328
304,20200325,26.9652,68.0085,43.5485,18.9485,8.0493,13.0448,6.138,6.6253,16.7902,6.062
305,20200326,27.4871,72.7202,44.9485,19.0055,7.8069,12.5444,5.8449,6.3968,16.1332,5.8296
306,20200327,27.8785,77.1652,44.2117,18.8343,7.7584,12.6778,5.5863,6.3805,15.7317,5.6553
307,20200330,26.5303,72.3646,41.1169,17.6358,7.225,11.8104,5.638,5.9399,14.7461,5.2679
308,20200331,26.9652,74.1426,40.5274,17.6072,7.2735,11.4768,5.8104,5.5319,15.0016,5.2486
309,20200401,28.27,76.454,40.38,18.3207,7.516,12.2108,5.9483,5.6298,15.4397,5.5197
310,20200403,28.4874,80.899,42.5169,19.5763,7.6857,12.5444,6.0863,5.7278,16.2792,5.7134
311,20200406,29.5747,86.4997,45.4644,20.946,8.2191,13.4118,6.5001,6.1194,17.3377,6.1007
312,20200407,29.6617,86.4997,48.6329,21.1173,8.2191,13.245,6.5518,6.3479,17.2647,6.1782
313,20200408,29.3573,83.566,51.5803,21.6595,8.0978,13.1449,6.4483,6.1684,17.1004,6.0814
314,20200409,30.8795,85.344,50.8434,21.5168,8.1948,13.2116,6.3966,6.1357,17.1004,6.1201
315,20200410,30.7055,84.455,49.4434,21.0602,8.1221,12.9781,6.4828,6.0868,16.9362,6.0233
316,20200413,30.7925,85.344,49.5908,21.2029,8.3403,13.0782,6.6725,6.511,16.9727,6.1007
317,20200414,30.4011,84.9884,50.1066,20.8319,8.316,12.8113,6.8794,6.9516,18.0677,6.1588
318,20200415,30.836,85.344,49.9592,21.2885,8.51,13.245,6.9311,7.0985,18.2867,6.3331
319,20200416,30.9665,85.2551,49.7381,21.2885,8.51,13.2116,6.9828,7.0985,18.3597,6.3912
320,20200417,31.0535,85.4329,50.475,21.3456,8.607,13.4118,7.138,7.0006,18.6882,6.5849
321,20200420,31.2709,85.5218,50.475,21.1743,8.5827,13.245,7.3104,6.8537,18.7247,6.4493
322,20200421,31.097,82.677,50.1066,19.8046,8.1706,12.5444,6.9656,6.3805,17.9947,6.062
323,20200422,30.1401,82.2325,48.1907,20.6607,8.1948,12.8446,7.1725,6.5926,18.6517,6.2363
324,20200423,30.0966,82.677,49.075,20.6607,8.2191,12.8113,7.4483,6.4947,18.6152,6.2557
